account_id,user_id,tariff_category_id,meter_id,subdivision
5381890081,U00001,1LT1,M00001,140029
8595310909,U00002,1LT2,M00002,140029
5290738367,U00003,1HT3A,M00003,140029
7276741469,U00004,1HT3A,M00004,140029
5906586956,U00005,1LT1,M00005,140029
6901618445,U00006,1LT4,M00006,140029
5798826544,U00007,1LT4,M00007,140029
9427463011,U00008,1LT2,M00008,140029
1830189250,U00009,1HT3A,M00009,140029
6475414832,U00010,1LT2,M00010,140029
5800108957,U00011,1LT4,M00011,140029
7913235653,U00012,1LT1,M00012,140029
3775152299,U00013,1HT3A,M00013,140029
7329786775,U00014,1LT4,M00014,140029
5830055971,U00015,1LT1,M00015,140029
5881862165,U00016,1LT2,M00016,140029
5917302994,U00017,1LT1,M00017,140029
3664873018,U00018,1HT3A,M00018,140029
6059278380,U00019,1LT1,M00019,140029
5808085206,U00020,1LT1,M00020,140029
6301073087,U00021,1LT4,M00021,140029
6669480261,U00022,1HT3A,M00022,140029
3446083762,U00023,1LT2,M00023,140029
5374224968,U00024,1HT3A,M00024,140029
1974270220,U00025,1HT3A,M00025,140029
6870949692,U00026,1HT3A,M00026,140029
4537537932,U00027,1LT2,M00027,140029
5479564366,U00028,1LT4,M00028,140029
7773004419,U00029,1HT3A,M00029,140029
1733581652,U00030,1LT2,M00030,140029
3345132457,U00031,1LT4,M00031,140029
4096155439,U00032,1HT3A,M00032,140029
4483740718,U00033,1HT3A,M00033,140029
9127881832,U00034,1HT3A,M00034,140029
7477061043,U00035,1HT3A,M00035,140029
9066370695,U00036,1LT1,M00036,140029
4606144107,U00037,1LT4,M00037,140029
7541796446,U00038,1LT2,M00038,140029
6763657749,U00039,1LT1,M00039,140029
9903799502,U00040,1HT3A,M00040,140029
6424120325,U00041,1HT3A,M00041,140029
3789089021,U00042,1LT1,M00042,140029
5660608736,U00043,1LT4,M00043,140029
7093591160,U00044,1LT4,M00044,140029
2733272138,U00045,1LT1,M00045,140029
3293865586,U00046,1LT4,M00046,140029
1459738095,U00047,1LT4,M00047,140029
3634417281,U00048,1LT2,M00048,140029
3270868418,U00049,1LT4,M00049,140029
8974534192,U00050,1LT1,M00050,140029
1102736431,U00051,1LT2,M00051,140029
4072267636,U00052,1LT1,M00052,140029
1743533539,U00053,1LT4,M00053,140029
6001928186,U00054,1LT4,M00054,140029
2227083706,U00055,1LT2,M00055,140029
8489095826,U00056,1HT3A,M00056,140029
7264013748,U00057,1HT3A,M00057,140029
4966429764,U00058,1HT3A,M00058,140029
4497533884,U00059,1LT4,M00059,140029
4442235958,U00060,1HT3A,M00060,140029
4535770964,U00061,1LT2,M00061,140029
7209363674,U00062,1LT4,M00062,140029
3857638048,U00063,1LT4,M00063,140029
2022398651,U00064,1LT1,M00064,140029
3387630542,U00065,1LT4,M00065,140029
1499692442,U00066,1LT1,M00066,140029
8409390131,U00067,1LT1,M00067,140029
6621237344,U00068,1LT1,M00068,140029
7797769401,U00069,1LT4,M00069,140029
3558408491,U00070,1LT4,M00070,140029
8039690703,U00071,1LT1,M00071,140029
1838924857,U00072,1LT2,M00072,140029
3057376223,U00073,1LT4,M00073,140029
4770863452,U00074,1LT4,M00074,140029
9304651533,U00075,1HT3A,M00075,140029
2369233219,U00076,1LT4,M00076,140029
7196592871,U00077,1LT2,M00077,140029
4716074817,U00078,1LT4,M00078,140029
5866806213,U00079,1LT4,M00079,140029
2328242408,U00080,1LT4,M00080,140029
5933062792,U00081,1LT1,M00081,140029
1367423529,U00082,1LT4,M00082,140029
8204222718,U00083,1LT1,M00083,140029
4974263434,U00084,1LT1,M00084,140029
5933478226,U00085,1LT4,M00085,140029
5255010836,U00086,1LT2,M00086,140029
5771974749,U00087,1LT2,M00087,140029
6604641759,U00088,1HT3A,M00088,140029
7765999879,U00089,1LT1,M00089,140029
7366176236,U00090,1HT3A,M00090,140029
3596190262,U00091,1LT4,M00091,140029
6857076487,U00092,1LT2,M00092,140029
7436758506,U00093,1LT4,M00093,140029
8985844377,U00094,1LT2,M00094,140029
4013148515,U00095,1LT2,M00095,140029
4466436463,U00096,1HT3A,M00096,140029
7476445677,U00097,1LT1,M00097,140029
7542121054,U00098,1LT4,M00098,140029
2511660639,U00099,1LT4,M00099,140029
7433988764,U00100,1LT2,M00100,140029
